title,author,genre,start_date,end_date,year,page_count,audiobook,start_date_raw,end_date_raw
How to Break 90:  An Easy step by step Approach for breaking Golfs Toughest Scoring Barrier,"T.J Tomasi, Mike Adams","golf, sports",2025-08-03,2025-08-08,2025,181,False,3-Aug,8-Aug
The Alignment Problem: Machibe Learning and Human Values,Brian Christian,machine learning,2025-08-10,2025-08-28,2025,329,False,10-Aug,28-Aug
The Culting of Brands,Douglas Atkin,"business, marketing",2025-09-01,2025-09-10,2025,204,False,1-Sep,10-Sep
Corporate Finance ASAP,John Cousins,"business, finance",2025-09-11,2025-09-16,2025,158,False,11-Sep,16-Sep
The Dichotomy of Leadership,"Jocko Willink, Leif Babin","business, leadership, life",2025-09-17,2025-09-26,2025,285,False,17-Sep,26-Sep
The Consumer Insights Revolution,"Steve Phillips, Ryan Barry, Stephan Gans,, Kate Schardt","analytics, data, marketing",2025-09-27,2025-10-03,2025,189,False,27-Sep,3-Oct
Against the Gods: The Remarkable Story of Risk,Peter L. Bernstein,"finance, risk",2025-10-04,2025-10-21,2025,338,False,4-Oct,21-Oct
The Road Less Stupid: Advice from the Chairman,Keith J. Cunningham,"business, life, mistakes",2025-10-22,2025-10-31,2025,265,False,22-Oct,31-Oct
The Anxious Generation,Jonathan Haidt,pyschology,2025-11-01,2025-11-20,2025,289,False,1-Nov,20-Nov
How Not to Invest,Barry Ritholtz,"finance, investing",2025-11-22,2025-12-09,2025,447,False,22-Nov,9-Dec
Slow Productivity,Cal Newport,"productivity, self-help",2025-12-12,2025-12-24,2025,219,False,12-Dec,24-Dec
Skunk Works,Ben R. Rich,"military, true story",2025-12-25,2025-12-31,2025,343,False,25-Dec,31-Dec
Can't Hurt Me,David Goggins,"miltary, psychology, self-help",2026-01-02,2026-01-11,2026,356,False,2-Jan,11-Jan
StatQuest: Illistrated Guide to Machine Learning,Josh Starmer,"data science, machine learning",2026-01-12,2026-01-19,2026,270,False,12-Jan,19-Jan
"The AI-Driven Leader: Hanressing AI to Make Faster, Smarter Decisions",Geoff Woods,"ai, business",2026-01-19,2026-01-25,2026,267,False,19-Jan,25-Jan
Data Strategy,Bernard Marr,"ai, business, data, strategy",2026-01-26,2026-02-06,2026,244,False,26-Jan,6-Feb
Overwork Transforming the Daily Grind in the Quest for a Better Life,Brigid Schulte,"self-help, time management, work",2026-02-07,2026-02-17,2026,291,False,7-Feb,17-Feb
The 48 Laws of Power,Robert Greene,self-help,2026-02-18,2026-03-08,2026,430,False,18-Feb,8-Mar
Golf Beneath the Surface: The New Science of Golf Psychology,Raymond Prior,"golf, psychology",2026-03-09,2026-03-19,2026,235,False,9-Mar,19-Mar
The Supply Chain Revolution,Suman Sarkar,"business, supply chain",2026-03-20,2026-03-29,2026,209,False,20-Mar,29-Mar
The Master Algorithm,Pedro Domingos,machine learning,2026-04-12,2026-04-21,2026,289,False,12-Apr,21-Apr
the Untethered Soul:  the journey beyond yourself,Michael Singer,"self-help, spiritual",2026-04-22,2026-04-30,2026,181,False,22-Apr,30-Apr
No More Mr Nice Guy,Robert Glover,"men, self-help",2026-05-02,2026-05-07,2026,204,False,2-May,7-May
Chip War - The Fight for the World's  Most Critica; Technology,Chris Miller,"history, informational, tech",2026-05-08,2026-05-22,2026,364,False,8-May,22-May
Making it In America: The Almost Impssible Quest to Manufacature in the USA,Rachel Slade,"history, information, manufacturing",2026-05-23,2026-06-01,2026,292,False,23-May,1-Jun
